2025-01-14 14:05:54,339 - INFO - Starting grid search for IDM parameters...
2025-01-14 14:05:55,340 - INFO - Run optimization...
2025-01-14 14:07:34,402 - INFO - Combination: min_gap=0.500, max_acc=1.000, max_dec=1.000, react_time=0.300, desired_speed=8.330, delta=2, average_metric=0.0567
2025-01-14 14:07:34,671 - INFO - Combination: min_gap=1.625, max_acc=1.000, max_dec=1.000, react_time=0.300, desired_speed=8.330, delta=2, average_metric=0.0537
2025-01-14 14:07:35,029 - INFO - Combination: min_gap=2.750, max_acc=1.000, max_dec=1.000, react_time=0.300, desired_speed=8.330, delta=2, average_metric=0.1012
2025-01-14 14:07:35,953 - INFO - Combination: min_gap=1.625, max_acc=1.000, max_dec=1.000, react_time=0.725, desired_speed=8.330, delta=2, average_metric=0.2699
2025-01-14 14:07:37,117 - INFO - Combination: min_gap=2.750, max_acc=1.000, max_dec=1.000, react_time=0.725, desired_speed=8.330, delta=2, average_metric=0.3056
2025-01-14 14:07:37,443 - INFO - Combination: min_gap=3.875, max_acc=1.000, max_dec=1.000, react_time=0.300, desired_speed=8.330, delta=2, average_metric=0.2550
2025-01-14 14:07:37,716 - INFO - Combination: min_gap=0.500, max_acc=1.000, max_dec=1.000, react_time=1.150, desired_speed=8.330, delta=2, average_metric=0.3019
2025-01-14 14:07:38,345 - INFO - Combination: min_gap=1.625, max_acc=1.000, max_dec=1.000, react_time=1.150, desired_speed=8.330, delta=2, average_metric=0.3357
2025-01-14 14:07:39,230 - INFO - Combination: min_gap=2.750, max_acc=1.000, max_dec=1.000, react_time=1.150, desired_speed=8.330, delta=2, average_metric=0.4531
2025-01-14 14:07:40,690 - INFO - Combination: min_gap=0.500, max_acc=1.000, max_dec=1.000, react_time=1.575, desired_speed=8.330, delta=2, average_metric=0.5521
2025-01-14 14:07:41,840 - INFO - Combination: min_gap=1.625, max_acc=1.000, max_dec=1.000, react_time=1.575, desired_speed=8.330, delta=2, average_metric=0.7651
2025-01-14 14:07:41,863 - INFO - Combination: min_gap=0.500, max_acc=1.000, max_dec=1.000, react_time=0.725, desired_speed=8.330, delta=2, average_metric=0.1540
2025-01-14 14:07:43,309 - INFO - Combination: min_gap=2.750, max_acc=1.000, max_dec=1.000, react_time=1.575, desired_speed=8.330, delta=2, average_metric=1.0272
2025-01-14 14:07:44,579 - INFO - Combination: min_gap=0.500, max_acc=1.000, max_dec=1.000, react_time=2.000, desired_speed=8.330, delta=2, average_metric=1.0591
2025-01-14 14:07:48,569 - INFO - Combination: min_gap=2.750, max_acc=1.000, max_dec=1.000, react_time=2.000, desired_speed=8.330, delta=2, average_metric=1.2410
